Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,AMC,AML,AMR,DC,DL,DM,DR,MC,ML,MR,ST,WBL,WBR,cluster
Donyell Malen,ST,24,137,157,"Holland,Suriname",Borussia Dortmund,8,8,13,14,14,9,12,11,4,5,11,14,6,14,11,12,12,13,13,10,11,14,14,5,14,5,12,12,16,15,14,10,12,16,14,12,12,10,11,7,12,3,1,1,1,2,2,3,3,2,3,2,178,74,10,20,6000,1999/1/19,76711.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Nicolae Stanciu,AMC,30,137,140,Romania,Wuhan Three Towns,13,13,15,14,15,12,7,15,3,6,16,13,6,15,9,13,10,14,13,15,16,10,15,11,15,10,11,11,12,14,12,7,15,13,11,9,12,6,10,4,12,1,1,1,3,3,3,1,1,1,4,1,170,63,12,20,5391,1993/5/7,15384.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Andrés Guardado,"DM,MC",37,137,148,"Mexico,Spain",Real Hispalis,13,13,11,10,14,12,6,15,10,9,16,17,11,14,13,11,16,13,14,15,13,17,12,15,15,12,14,15,12,13,14,9,15,12,12,10,12,8,12,14,13,3,1,3,1,3,2,3,1,3,1,3,169,60,20,8,5850,1986/9/28,18389.0,,,left,False,True,False,0,0,0,0,0,True,0,True,0,0,0,0,0,"['DM_2', 'MC_1']"
Luis Romo,"DC,DM",28,137,148,Mexico,CF Monterrey,6,12,8,11,13,6,11,12,11,12,13,10,12,13,9,13,13,15,13,14,14,14,12,13,13,12,14,16,12,10,15,11,14,11,17,12,16,12,13,4,16,2,1,4,1,1,3,1,4,3,2,1,182,82,10,20,3173,1995/6/5,17590.0,,,right,False,False,True,0,0,0,True,0,True,0,0,0,0,0,0,0,"['DC_0', 'DM_0']"
Fernando1,ST,24,137,146,Brazil,Fussballclub RB Salzburg,6,7,15,14,14,10,10,10,7,6,13,14,8,15,5,11,11,11,10,11,13,14,16,7,15,8,9,14,16,17,9,8,11,17,14,11,13,4,12,15,11,3,2,2,1,1,2,1,3,1,3,1,176,69,12,20,4115,1999/3/1,25000.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Mohamed Camara,MC,23,137,160,Mali,AS Monaco,7,9,10,9,13,8,8,9,5,14,13,10,14,12,12,14,16,12,13,14,13,17,10,8,10,14,14,15,16,14,12,8,14,14,14,13,12,7,10,5,8,1,2,2,4,2,1,2,1,3,2,3,174,73,13,20,4650,2000/1/6,23363.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Wanderson,AMR,29,137,146,"Brazil,Belgium",FC Krasnodar,14,12,15,11,13,13,6,11,6,7,14,4,10,15,11,13,12,14,13,13,12,14,14,9,15,8,12,12,15,14,14,8,13,15,14,9,11,9,8,5,12,2,1,2,1,4,1,3,2,1,3,2,176,74,9,20,4700,1994/10/7,38461.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_0']
Bruno Henrique,AML,33,136,152,Brazil,FLA,6,10,16,13,12,6,15,11,3,6,13,11,5,13,15,13,15,12,11,13,11,16,16,5,15,5,13,13,16,13,12,17,16,17,14,10,13,15,18,14,13,1,3,2,2,3,3,1,3,2,1,3,183,74,8,20,4500,1990/12/30,44697.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Arthur Cabral,ST,25,136,145,Brazil,ACF Fiorentina,6,8,12,15,13,8,15,12,5,4,12,15,6,12,8,14,14,14,12,10,14,12,13,9,16,7,12,10,12,12,12,13,14,13,15,15,12,9,14,5,7,2,4,1,3,4,3,1,1,3,3,3,186,89,13,20,5397,1998/4/25,41923.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Brennan Johnson,AMR,22,136,162,"Wales,England",Nottingham Forest,8,13,14,13,12,11,8,10,5,7,14,14,6,13,6,11,12,13,10,12,13,12,13,10,13,8,12,13,16,13,12,8,14,15,13,9,13,5,13,3,9,3,3,3,3,2,1,3,3,1,2,1,180,0,10,20,5000,2001/5/23,46397.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_0']
Meschack Elia,ST,26,136,139,Democratic Republic of Congo,BSC Young Boys,9,11,14,10,13,8,7,12,4,5,12,10,6,13,12,11,9,10,11,11,12,4,13,7,12,5,14,14,17,15,11,5,13,17,15,10,12,8,13,8,12,2,2,1,3,1,2,4,3,2,4,3,173,67,7,20,4110,1997/8/6,12997.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
André Carrillo,AMR,32,136,140,Peru,Al-Hilal Saudi Football Club,11,14,16,12,14,10,8,14,10,6,14,13,7,15,8,11,13,14,11,12,12,11,16,6,13,8,8,11,15,14,13,8,12,15,12,12,12,5,11,7,12,1,1,2,3,3,3,1,3,1,3,2,180,73,10,20,5500,1991/6/14,66736.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_0']
Dávid Hancko,DC,26,136,145,Slovakia,Feyenoord Rotterdam,9,13,14,11,11,10,11,13,10,12,14,12,15,11,7,12,10,13,13,13,16,12,12,13,11,13,15,12,14,12,10,15,10,12,14,12,11,8,13,12,11,1,3,2,2,3,2,3,2,1,3,1,188,79,20,8,4850,1997/12/13,14999.0,,,left,False,True,False,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_1']
Rémy Cabella,AMC,33,136,145,France,LOSC Lille,14,13,15,15,15,12,9,12,5,7,15,14,10,15,10,13,12,14,12,15,14,14,15,12,14,7,9,12,14,15,12,6,15,14,13,7,16,10,13,6,12,1,2,3,3,1,1,1,2,3,3,2,172,66,10,20,5500,1990/3/8,26270.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Tormena,DC,27,136,142,Brazil,Sporting Clube de Braga,6,7,11,7,11,5,15,7,6,15,14,6,11,12,16,13,15,12,11,12,12,14,11,9,7,15,13,13,13,11,14,16,16,14,14,16,13,3,11,10,7,2,1,3,4,2,2,1,1,2,1,3,192,84,10,20,5500,1996/1/4,5514.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Roberto Torres,"AMC,AMR",34,136,145,"Spain,Pays Basque",Atlético Pamplona,16,15,11,12,15,16,7,15,7,7,16,17,7,16,13,12,13,14,14,15,14,15,16,14,11,11,15,14,11,12,12,10,13,11,12,11,15,6,13,6,6,1,2,1,3,3,1,2,3,2,2,1,176,69,12,20,4750,1989/3/7,19847.0,,,right,False,False,True,True,0,True,0,0,0,0,0,0,0,0,0,0,"['AMC_1', 'AMR_0']"
Alan Patrick,MC,32,136,137,Brazil,INT,13,13,14,11,15,12,8,12,7,12,13,12,11,15,12,12,14,13,14,14,15,13,17,12,14,14,14,15,14,13,12,7,14,15,13,12,14,6,15,9,14,2,3,1,2,1,3,2,2,1,2,1,177,70,7,20,4561,1991/5/13,44728.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Nuno Tavares,DL,23,136,154,"Portugal,Cape Verde Islands",Arsenal,11,12,13,8,13,8,9,11,11,10,12,7,13,13,12,10,13,10,8,13,10,12,12,6,13,9,13,13,17,14,12,12,16,16,14,13,10,9,10,6,12,1,2,2,3,1,4,2,2,2,3,1,183,75,20,11,5000,2000/1/26,34798.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Morgan Sanson,MC,29,136,145,France,Aston Villa,12,13,14,11,15,13,8,13,5,8,15,10,11,14,13,14,12,14,12,15,13,14,14,10,13,10,16,15,14,14,15,8,14,14,14,12,10,8,11,14,11,1,3,1,2,2,2,3,3,2,2,2,180,73,8,20,5499,1994/8/18,69595.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Sebastián Villa,AML,27,136,137,Colombia,Club Atlético Boca Juniors,14,14,13,10,9,12,6,11,3,5,12,14,6,11,12,13,12,8,11,10,8,12,13,6,14,5,12,14,18,15,14,8,16,17,15,13,12,6,13,6,15,3,2,1,1,1,3,1,3,1,2,1,178,65,9,20,4400,1996/5/19,19066.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Suat Serdar,MC,26,136,143,"Germany,Turkey",Hertha Berlin,7,9,15,11,14,7,10,13,9,11,13,10,12,15,18,12,17,14,11,12,11,13,12,11,14,10,15,16,14,13,13,12,11,14,15,12,9,10,15,7,15,1,3,3,2,2,3,1,2,4,1,2,184,75,10,20,4892,1997/4/11,28846.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Rob Holding,DC,28,136,155,England,Arsenal,2,6,10,5,13,6,14,5,11,15,12,5,15,12,13,14,15,13,13,12,13,14,8,13,5,14,16,15,13,13,14,15,14,13,15,13,13,12,12,10,10,2,1,3,1,4,2,2,3,4,2,1,188,0,8,20,6000,1995/9/20,46397.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Hamari Traoré,DR,31,136,138,Mali,Stade Rennais FC,10,13,11,7,12,8,12,7,15,13,12,5,12,12,15,13,13,11,12,11,13,12,12,9,13,13,14,16,15,13,12,10,16,15,17,12,15,13,12,5,13,1,3,1,1,2,3,2,2,2,2,2,175,71,10,20,4500,1992/1/27,14564.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Enis Bardhi,AMC,28,136,146,"North Macedonia,Albania",Trabzonspor A.Ş.,14,13,14,12,14,17,7,17,5,7,15,12,9,15,12,13,13,14,13,14,14,16,15,8,14,8,14,13,13,13,15,6,14,12,14,8,13,9,13,8,13,1,2,2,3,2,1,1,4,1,3,3,172,70,12,20,5200,1995/7/2,41667.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Ihlas Bebou,ST,29,136,140,"Togo,Germany",TSG Hoffenheim,8,10,14,13,12,8,9,9,8,7,12,13,8,14,11,12,13,10,12,11,10,11,15,6,14,7,11,13,15,14,14,12,13,17,13,12,12,7,11,12,16,2,2,3,3,2,2,2,3,4,2,3,185,78,9,20,6250,1994/4/23,48051.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Antonio Candreva,MR,36,136,155,Italy,U.C. Sampdoria,12,16,15,13,16,12,5,12,6,9,15,13,8,15,11,16,11,13,12,14,13,18,16,12,15,12,10,13,13,12,13,9,17,12,13,9,16,8,12,8,16,1,3,3,3,3,3,3,1,2,1,1,180,70,12,20,6700,1987/2/28,46249.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,True,0,0,0,['MR_0']
Christian Kouamé,ST,26,136,144,"Ivory Coast,Italy",ACF Fiorentina,5,8,15,14,13,10,13,10,4,4,11,12,4,13,12,13,14,12,11,11,13,14,14,7,13,10,12,12,17,15,13,13,14,16,13,10,12,9,12,10,11,1,1,2,2,1,1,2,3,2,3,2,185,70,9,20,5398,1997/12/6,42692.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Nemanja Gudelj,DM,32,136,144,"Serbia,Holland,Bosnia and Herzegovina",Sevilla,14,12,13,10,15,13,11,13,12,9,14,12,9,13,16,13,13,14,13,13,12,16,14,11,13,10,15,17,12,13,13,12,14,11,15,14,15,13,13,9,12,2,1,3,2,3,1,4,3,4,2,1,186,77,11,20,5247,1991/11/16,101700.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Dan-Axel Zagadou,DC,24,136,153,"France,Ivory Coast",VfB Stuttgart,3,8,9,6,14,4,13,5,10,14,14,7,14,14,11,13,15,13,13,12,15,12,8,9,8,15,15,10,11,8,15,17,11,13,11,17,14,7,16,16,8,3,2,3,2,2,1,1,3,2,3,2,196,90,20,9,5019,1999/6/3,14999.0,,,left,False,True,False,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_1']
Ainsley Maitland-Niles,WBR,26,136,148,England,Arsenal,10,11,14,8,13,8,6,10,8,10,13,17,11,14,10,11,10,12,10,12,12,10,14,7,14,10,13,10,16,15,14,8,13,14,13,10,12,9,12,9,20,1,3,2,1,3,3,1,3,3,2,3,177,73,9,20,5750,1997/8/29,75395.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,True,['WBR_1']
Pascal Groß,AMC,32,136,150,Germany,Brighton & Hove Albion,17,17,11,13,14,14,11,14,6,10,15,14,10,15,13,13,12,15,14,15,14,15,13,12,16,13,14,16,8,12,11,10,15,9,15,11,16,6,15,5,13,2,3,2,2,1,2,2,1,1,2,3,181,78,11,20,5500,1991/6/15,76555.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Mattia De Sciglio,DR,31,136,146,Italy,Juventus,11,13,11,7,13,5,12,12,10,13,13,7,13,13,7,14,10,11,11,11,12,12,7,6,11,14,18,15,13,14,13,11,10,14,13,13,14,8,10,17,15,1,2,2,1,3,4,1,2,1,1,1,182,78,12,20,5750,1992/10/20,53462.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Dejan Lovren,DC,34,136,153,"Croatia,Bosnia and Herzegovina",Zenit St. Petersburg,7,7,9,8,12,7,15,7,10,14,14,8,14,13,14,16,15,13,11,10,12,15,9,14,9,15,13,12,12,11,14,15,12,13,13,14,11,14,13,10,5,1,2,3,3,2,2,1,3,1,1,3,190,84,10,20,6499,1989/7/5,115992.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Tosin Adarabioyo,DC,26,136,155,"England,Nigeria",Fulham,8,8,11,9,13,6,13,9,11,14,14,11,14,13,9,12,11,14,12,14,11,14,14,10,8,13,12,13,15,13,14,16,15,15,14,13,12,6,10,12,12,2,1,2,2,3,1,4,3,3,3,2,196,80,11,20,4750,1997/9/24,46397.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Victor Moses,WBR,33,136,146,"Nigeria,England",Spartak Moscow,8,13,14,12,14,9,10,10,13,8,12,12,8,14,11,12,8,12,7,10,12,12,11,5,14,9,11,11,16,13,14,8,14,16,13,12,12,13,11,12,15,1,1,2,3,2,3,1,1,3,1,2,177,80,11,20,5500,1990/12/12,42192.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,True,['WBR_1']
Josip Šutalo,DC,23,136,161,"Croatia,Bosnia and Herzegovina",GNK Dinamo Zagreb,2,8,11,5,13,3,14,5,6,15,13,6,16,13,12,16,13,16,14,11,12,14,9,9,7,15,14,12,13,10,11,16,14,13,13,14,14,8,13,6,9,1,3,3,2,1,2,2,1,4,3,1,190,82,10,20,6250,2000/2/28,7671.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Guido Pizarro,DM,33,136,155,"Argentina,Italy,Mexico",Tigres de la UANL,8,9,10,9,14,8,12,10,2,12,13,7,14,13,12,13,13,15,14,13,13,15,13,12,12,15,14,14,10,11,15,12,15,12,15,13,17,8,15,7,11,2,3,1,4,3,1,2,4,3,3,2,187,74,10,20,5757,1990/2/26,36515.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Christopher Trimmel,"DR,WBR",36,136,137,Austria,1. FC Union Berlin,18,16,11,10,12,13,13,11,14,13,13,10,13,12,13,15,15,15,16,12,14,16,9,15,10,12,16,16,11,10,15,14,17,10,12,13,17,10,11,6,14,3,1,1,1,1,1,3,3,1,2,1,189,78,12,20,5317,1987/2/24,19177.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,True,"['DR_1', 'WBR_0']"
Andrea Pinamonti,ST,24,136,153,Italy,FC Internazionale Milano,5,7,11,14,13,7,14,13,5,5,11,14,6,14,5,12,13,14,11,11,13,12,12,8,15,5,13,14,14,13,14,14,14,14,14,15,12,5,11,5,9,1,2,2,1,1,3,3,2,2,2,1,185,75,12,20,5300,1999/5/19,71154.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Elseid Hysaj,DR,29,136,145,Albania,S.S. Lazio,8,12,12,8,12,8,11,8,9,13,12,8,14,12,13,15,14,10,10,12,10,13,8,12,15,13,15,14,14,14,14,11,16,15,17,13,11,6,13,6,15,3,2,2,2,2,3,3,1,3,3,3,182,70,11,20,5746,1994/2/2,71154.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Youssouf Sabaly,DR,30,136,141,"Senegal,France",Real Hispalis,8,14,12,7,12,7,10,10,12,13,12,10,14,12,14,14,12,13,14,10,13,15,12,10,16,10,14,16,14,13,15,10,16,14,15,15,14,12,12,15,12,1,1,1,1,1,2,2,3,2,1,1,174,68,10,20,4500,1993/3/5,20698.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Joey Veerman,MC,25,136,149,Holland,PSV Eindhoven,13,8,12,9,13,13,11,15,12,7,17,15,7,13,12,13,13,12,14,15,13,16,12,14,13,15,14,15,11,13,14,12,15,12,14,10,16,5,12,11,12,1,4,1,3,2,1,1,3,3,2,1,185,75,12,20,4993,1998/11/19,6999.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Jonas Wind,ST,24,136,150,Denmark,VfL Wolfsburg,2,7,12,13,15,13,14,11,3,7,14,17,7,16,11,13,13,15,13,15,13,16,15,6,14,7,12,12,11,12,15,16,13,11,14,16,12,7,15,10,11,3,3,4,1,1,1,4,1,1,3,1,190,82,12,20,5900,1999/2/7,38355.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Nampalys Mendy,DM,31,136,140,"Senegal,France",Leicester City,8,11,12,8,14,7,8,7,6,13,14,11,15,13,13,15,14,15,13,12,15,13,8,7,8,14,16,16,13,14,14,5,15,12,17,12,14,11,14,9,12,2,3,3,3,2,3,2,2,1,3,3,167,73,8,20,5249,1992/6/23,57996.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Rafael Santos Borré,ST,28,136,136,Colombia,Eintracht Frankfurt,8,7,11,12,9,9,13,11,8,6,12,13,9,13,18,15,14,11,16,13,12,14,11,13,17,13,16,19,15,13,12,10,16,13,16,14,14,15,14,5,7,1,3,3,1,3,3,3,2,1,3,2,174,70,11,20,5248,1995/9/15,27930.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Serge Aurier,DR,31,136,144,Ivory Coast,Nottingham Forest,7,12,13,10,15,7,14,9,9,13,13,6,15,12,15,13,15,14,12,10,12,15,11,10,16,13,15,16,14,13,14,9,15,13,16,14,12,13,14,7,12,3,3,3,1,1,1,3,3,2,1,3,174,74,8,20,6000,1992/12/24,66471.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Mathías Olivera,DL,26,136,148,"Uruguay,Spain",Parthenope,10,14,12,8,13,9,12,9,13,13,12,8,15,12,11,14,13,13,14,10,13,14,12,11,13,14,15,16,14,12,12,13,14,14,14,13,14,11,12,7,11,1,2,2,1,4,1,2,1,1,2,2,184,78,20,9,5750,1997/10/31,36922.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Sebastian Szymański,AMC,24,136,146,Poland,Dinamo Moscow,15,12,13,9,12,13,6,14,6,11,11,12,10,14,13,15,14,13,11,11,13,17,14,13,15,11,16,16,14,14,10,6,11,14,16,8,12,6,14,2,18,3,2,4,3,2,2,1,3,3,1,3,174,60,20,9,5250,1999/5/10,44840.0,,,left,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_0']
Ben Mee,DC,34,136,143,England,Brentford,6,8,8,6,10,4,16,4,15,15,10,5,16,9,17,14,16,11,14,8,13,14,7,15,8,14,18,14,13,12,10,14,12,12,15,15,15,9,11,8,10,4,1,2,2,2,1,3,2,1,3,2,183,74,20,7,5500,1989/9/21,57996.0,,,left,False,True,False,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_1']
Bruno Tabata,AML,26,136,144,Brazil,SEP,15,14,16,9,16,13,5,12,8,5,14,13,6,17,11,9,9,13,12,16,12,14,17,4,10,7,9,11,14,16,15,8,13,13,14,9,9,13,18,3,11,2,1,3,3,3,1,2,1,1,2,1,175,68,20,11,5250,1997/3/30,19981.0,,,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
Carlos Vela,AMR,34,136,160,"Mexico,United States",Los Angeles Football Club,13,14,16,15,16,14,8,13,1,4,15,14,5,17,10,14,12,13,10,15,11,11,17,13,16,8,9,7,14,16,12,7,7,13,10,7,8,6,14,13,13,2,2,3,1,2,2,1,2,3,3,2,178,74,20,7,6479,1989/3/1,78529.0,,,left,False,True,False,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_1']
Benjamin André,MC,33,136,136,France,LOSC Lille,10,12,11,8,14,9,13,13,8,10,13,8,14,14,13,14,15,13,15,13,13,15,10,13,11,12,15,14,14,15,14,11,14,13,15,13,15,13,14,5,16,2,3,3,1,2,2,4,1,4,3,2,180,76,8,20,4500,1990/8/3,29918.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Manu Vallejo,AML,26,136,145,Spain,Girona,12,11,12,14,12,11,9,12,12,7,12,14,7,13,10,14,13,10,12,12,12,15,13,10,14,12,11,13,15,14,14,6,9,13,12,12,12,7,3,5,12,1,1,2,1,1,2,1,1,2,3,3,167,72,12,20,4850,1997/2/14,14585.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Marouane Fellaini,MC,36,136,150,"Belgium,Morocco",Shandong Taishan,8,8,7,13,13,8,17,10,13,14,12,14,15,13,17,14,17,13,14,8,14,15,12,7,15,14,18,16,9,11,18,17,16,12,17,17,15,19,12,5,12,2,2,3,3,2,2,1,1,2,3,2,194,85,12,20,6700,1987/11/22,57533.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Ayoze Pérez,AMC,30,136,142,Spain,Leicester City,7,12,15,14,15,9,11,9,4,5,13,11,10,14,6,14,10,12,12,13,13,13,15,10,15,8,14,16,12,14,13,8,15,13,14,9,11,7,14,8,16,3,2,3,1,2,1,1,3,3,1,3,178,72,12,20,5750,1993/7/29,92793.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Abdoulaye Doucouré,MC,30,136,160,"Mali,France",Everton,5,11,12,13,14,7,12,13,5,12,13,8,12,14,13,12,14,13,12,13,13,14,12,10,13,12,16,17,14,13,14,12,16,13,16,15,11,11,14,9,10,1,3,2,3,3,2,1,2,2,2,2,183,70,8,20,6000,1993/1/1,139190.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Samuel Gigot,DC,30,136,140,"France,Algeria",Olympique de Marseille,1,10,11,9,12,10,15,13,2,16,13,4,12,12,10,14,15,13,12,11,11,18,16,13,10,14,15,12,12,13,13,15,16,14,12,15,13,7,15,11,12,1,3,3,3,4,3,2,1,1,2,3,187,83,10,20,5490,1993/10/12,43499.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Carlos Vinícius,ST,28,136,145,Brazil,Fulham,10,12,12,14,14,11,8,12,2,7,11,15,8,15,12,14,13,16,14,14,14,14,12,10,12,8,13,12,12,11,14,15,16,14,14,17,13,10,16,8,9,2,2,1,3,1,3,3,3,2,2,2,192,86,20,11,5624,1995/3/25,63795.0,,,left,False,True,False,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_1']
Simone Bastoni,MC,27,136,144,Italy,Spezia Calcio,11,14,13,12,12,12,13,13,3,11,14,8,15,13,14,13,12,14,13,13,14,15,12,11,14,12,13,14,14,14,14,11,13,13,14,11,14,12,11,5,15,2,2,1,1,3,1,3,3,1,1,3,181,74,20,8,5000,1996/11/5,3654.0,,,left,False,True,False,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_1']
Gernot Trauner,DC,31,136,136,Austria,Feyenoord Rotterdam,8,10,9,7,11,9,15,10,9,14,12,8,13,11,16,12,13,14,14,13,12,14,6,16,9,15,15,15,12,11,13,15,13,11,13,16,16,11,14,8,11,3,2,2,2,3,2,1,2,3,3,1,183,82,10,20,5238,1992/3/25,14999.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Miroslav Stevanović,"MR,AMR",33,136,136,"Bosnia and Herzegovina,Serbia",Servette FC,13,15,14,10,15,13,11,12,6,7,15,10,8,15,12,15,11,12,12,14,13,12,12,4,13,9,18,14,12,13,14,9,14,12,14,8,16,8,13,8,10,1,3,3,2,3,3,3,3,2,2,2,180,72,15,20,5165,1990/7/29,7791.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,True,0,0,0,"['AMR_0', 'MR_1']"
Bruno Petković,ST,29,136,137,Croatia,GNK Dinamo Zagreb,8,11,15,12,15,13,15,8,5,3,14,17,7,16,8,15,9,13,12,17,7,7,18,12,10,8,19,7,12,13,10,17,9,12,11,17,5,4,10,5,10,3,2,3,2,2,3,2,3,2,3,2,193,88,16,20,5899,1994/9/16,14422.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Asier Illarramendi,"DM,MC",33,136,155,"Spain,Pays Basque",Real San Sebastián,11,10,11,11,13,12,8,14,6,14,15,9,14,15,15,14,14,14,16,15,15,9,7,12,9,15,19,17,10,11,13,10,11,9,11,13,13,13,14,15,9,1,1,2,2,1,2,3,1,1,1,1,179,76,8,20,6000,1990/3/8,55000.0,,,right,False,False,True,0,0,0,0,0,True,0,True,0,0,0,0,0,"['DM_1', 'MC_2']"
Alex Iwobi,MC,27,136,155,"Nigeria,England",Everton,9,14,16,11,13,9,9,13,4,8,12,11,11,14,9,13,10,13,13,12,14,15,15,8,14,14,15,15,14,13,15,12,13,14,16,13,13,8,13,7,15,1,3,2,2,3,2,4,1,3,2,1,180,82,8,20,5849,1996/5/3,115992.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Josip Brekalo,AML,25,136,147,Croatia,VfL Wolfsburg,14,13,15,12,15,15,6,16,4,4,13,10,4,15,10,13,8,12,10,13,12,13,16,4,14,4,10,9,16,15,13,7,13,15,13,8,11,5,14,9,14,1,1,2,2,2,1,3,1,2,3,3,175,70,12,20,5800,1998/6/23,34520.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
