Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,GK,cluster
Thomas Kaminski,GK,31,130,135,"Belgium,Poland",Blackburn Rovers,5,5,8,5,12,6,6,5,12,5,11,5,6,15,9,12,13,10,13,11,11,14,10,9,5,10,12,13,12,14,8,14,13,12,13,8,14,2,10,2,1,12,15,13,13,15,10,15,17,14,10,11,192,80,9,20,4500,1992/10/23,17399.0,,,right,False,False,True,True,['GK_0']
Guido Herrera,GK,31,130,140,Argentina,Club Atlético Talleres de Córdoba,5,1,2,3,12,7,2,2,3,1,12,12,2,14,10,16,13,10,11,10,12,14,6,15,6,12,12,13,12,12,13,13,14,11,12,14,12,2,10,2,15,12,12,13,4,13,17,16,14,15,12,12,188,84,20,8,4994,1992/2/29,14932.0,,,left,False,True,False,True,['GK_1']
José Luis Chunga,GK,32,130,131,Colombia,Alianza Petrolera F.C. S.A.,4,2,2,2,10,7,8,2,2,2,11,1,3,12,10,13,12,10,12,12,13,12,10,13,9,13,13,12,11,14,13,12,12,11,12,13,17,8,13,5,11,13,14,12,12,13,13,13,14,10,11,12,180,78,8,20,3150,1991/7/11,7158.0,,,right,False,False,True,True,['GK_0']
Łukasz Skorupski,GK,32,130,137,Poland,Bologna FC 1909,7,3,1,1,5,8,6,2,3,3,5,3,2,5,13,13,14,12,12,5,13,13,10,11,9,14,17,16,12,16,15,14,14,13,15,15,14,8,12,4,11,13,11,11,1,12,9,17,16,3,16,9,187,84,5,20,5592,1991/5/5,32115.0,,,right,False,False,True,True,['GK_0']
Munir Mohand,GK,34,130,138,"Morocco,Spain",Al-Wehda Football Club,5,2,2,2,9,6,4,3,1,3,10,5,3,9,7,12,12,12,11,8,13,13,4,12,3,14,12,12,13,13,13,13,14,14,15,14,13,12,13,5,16,14,12,12,8,15,13,14,14,12,13,13,190,89,5,20,5000,1989/5/10,7651.0,,,right,False,False,True,True,['GK_0']
Marcelo Barovero,GK,39,130,150,Argentina,Club Atlético San Luis,2,3,5,1,5,1,4,1,9,4,8,1,6,8,6,16,10,14,15,8,11,13,1,16,1,14,9,13,12,14,12,14,17,11,11,10,17,2,16,12,1,13,15,15,5,16,8,13,14,12,7,13,183,73,9,20,5015,1984/2/18,13775.0,,,right,False,False,True,True,['GK_0']
Brice Samba,GK,29,130,131,"France,Congo",RC Lens,4,2,1,6,10,6,2,11,1,2,12,8,1,10,8,12,14,13,13,11,11,12,6,9,3,12,13,8,10,14,15,15,15,10,14,15,11,8,10,5,1,14,12,12,12,13,13,14,15,8,10,11,187,90,20,9,3791,1994/4/25,19999.0,,,left,False,True,False,True,['GK_1']
Javier Burrai,GK,33,130,130,Argentina,Barcelona Sporting Club,4,3,3,2,6,9,7,3,2,3,7,2,3,6,9,12,14,13,14,8,11,13,7,15,8,13,12,9,12,13,12,14,12,14,12,15,14,9,13,5,11,16,15,15,10,13,7,14,15,10,14,9,188,83,8,20,3750,1990/10/9,6376.0,,,right,False,False,True,True,['GK_0']
Diego Alves,GK,38,130,161,"Brazil,Italy",FLA,6,1,1,2,13,9,3,2,2,3,10,2,2,13,12,13,15,15,12,8,12,15,6,16,3,13,11,12,10,15,10,15,8,10,11,12,12,8,15,16,13,12,13,14,7,13,11,15,15,11,13,13,190,90,20,5,4503,1985/6/24,29520.0,,,left,False,True,False,True,['GK_1']
Predrag Rajković,GK,28,130,145,Serbia,Mallorca,3,3,8,10,10,8,2,6,6,5,9,10,4,7,11,13,16,10,11,10,10,11,5,14,5,15,14,12,10,11,14,14,13,10,13,14,15,9,12,7,8,14,16,14,14,12,12,14,15,13,14,13,191,88,12,20,4250,1995/10/31,22807.0,,,right,False,False,True,True,['GK_0']
Marco Sportiello,GK,31,130,140,Italy,Atalanta,5,2,3,2,8,7,5,1,1,3,7,5,3,8,10,14,12,14,12,8,12,13,3,13,5,13,13,13,10,14,13,15,13,10,14,13,13,5,14,5,13,14,15,13,8,13,13,15,15,14,13,12,192,87,7,20,5000,1992/5/10,21346.0,,,right,False,False,True,True,['GK_0']
Muriel,GK,36,130,130,"Brazil,Germany",AE Limassol,6,3,2,2,5,7,8,3,2,1,5,2,1,4,13,12,13,12,14,8,13,14,3,13,3,14,12,14,11,12,15,14,14,12,12,14,13,6,10,5,15,13,13,14,6,14,14,14,14,9,16,13,189,78,20,7,3750,1987/2/14,4062.0,,,left,False,True,False,True,['GK_1']
Jonathan Orozco,GK,37,130,141,Mexico,Xoloitzcuintles de Tijuana,7,1,3,1,10,9,1,3,3,8,12,2,8,12,7,14,16,12,13,13,12,14,1,13,13,15,14,14,12,14,13,13,13,13,16,12,14,11,15,8,14,15,13,10,13,13,15,12,12,10,10,11,183,76,10,20,3716,1986/5/12,15665.0,,,right,False,False,True,True,['GK_0']
Tomáš Vaclík,GK,34,130,150,Czech Republic,Olympiacos SF Piraeus,5,5,8,3,10,5,2,2,2,2,12,9,9,10,6,13,11,14,12,10,13,14,8,8,5,15,16,8,9,14,14,13,10,9,12,12,14,8,12,10,1,12,10,14,8,15,13,15,15,6,10,13,188,82,10,20,4996,1989/3/29,30749.0,,,right,False,False,True,True,['GK_0']
Martín Silva,GK,40,130,145,Uruguay,Club Libertad,4,2,2,2,8,8,3,1,3,3,11,2,3,12,12,12,13,11,11,9,12,12,6,15,1,13,12,12,12,14,12,13,14,9,13,12,16,12,14,12,11,12,11,13,3,15,12,15,15,11,12,13,186,80,8,20,3938,1983/3/25,6584.0,,,right,False,False,True,True,['GK_0']
Iñaki Peña,GK,24,130,150,Spain,Barcelona,4,2,3,3,11,7,8,1,2,1,14,7,2,10,9,13,13,11,13,10,14,14,8,11,2,12,12,9,12,14,12,13,13,11,10,11,15,5,15,8,15,11,13,12,5,11,14,13,14,9,8,12,184,78,10,20,4500,1999/3/2,12848.0,,,right,False,False,True,True,['GK_0']
José de Jesús Corona,GK,42,130,145,Mexico,CD Cruz Azul,3,3,2,1,9,6,5,6,5,5,5,6,11,6,9,13,11,13,12,10,12,15,1,12,2,15,12,10,13,16,15,13,13,11,14,14,13,8,11,10,2,14,15,13,5,15,11,12,13,12,6,13,184,84,20,12,4987,1981/7/26,31023.0,,,left,False,True,False,True,['GK_1']
Gatito Fernández,GK,35,130,141,"Paraguay,Spain",BOT,1,2,2,3,8,7,4,1,1,1,7,2,2,10,15,13,14,12,15,7,15,14,10,12,1,14,12,15,10,11,10,16,9,10,9,12,16,12,19,17,8,12,13,13,14,16,11,14,14,13,12,11,191,80,6,20,4264,1988/3/22,17492.0,,,right,False,False,True,True,['GK_0']
Ciprian Tătăruşanu,GK,37,130,139,Romania,AC Milan,1,4,5,2,7,2,7,2,5,3,7,5,3,7,10,13,12,14,13,10,12,14,3,13,3,12,14,12,8,10,15,18,15,11,14,16,13,4,12,4,1,16,12,13,6,13,14,14,15,11,12,14,198,90,14,20,5150,1986/2/9,29614.0,,,right,False,False,True,True,['GK_0']
Bartłomiej Drągowski,GK,26,130,139,Poland,Spezia Calcio,4,2,3,1,9,6,10,3,3,2,10,3,1,9,12,13,14,10,10,8,13,15,2,12,3,13,8,11,12,12,14,17,13,11,14,13,11,5,8,11,14,13,14,12,12,14,10,12,17,8,13,12,191,74,9,20,5500,1997/8/19,28461.0,,,right,False,False,True,True,['GK_0']
Matvey Safonov,GK,24,130,150,Russia,FC Krasnodar,5,3,2,1,10,7,2,2,1,2,10,5,3,9,10,13,13,15,13,12,14,11,8,13,1,13,10,10,11,13,12,16,12,12,10,15,15,12,14,5,16,14,12,11,10,7,13,13,17,13,11,15,192,87,11,20,4500,1999/2/25,9588.0,,,right,False,False,True,True,['GK_0']
Daniel,GK,29,129,137,Brazil,INT,4,2,1,3,9,7,7,3,2,2,9,3,3,9,12,13,12,10,13,8,13,13,3,10,3,12,12,8,12,14,12,14,12,12,9,13,14,8,14,9,14,14,11,11,5,13,12,14,15,13,13,12,188,82,12,20,2896,1994/5/6,5367.0,,,right,False,False,True,True,['GK_0']
Pepe Reina,GK,41,129,175,Spain,Villarreal,3,2,2,1,10,8,6,2,2,1,13,4,3,12,10,18,13,16,10,14,12,20,7,17,3,12,14,14,8,8,12,14,20,9,13,13,12,9,13,6,13,11,15,17,13,12,17,12,13,18,13,17,188,92,14,20,5717,1982/8/31,10968.0,,,right,False,False,True,True,['GK_0']
Stefan Ortega,GK,31,129,134,"Germany,Spain",Manchester City,3,1,2,3,11,6,7,1,1,2,12,2,1,11,10,12,12,12,12,11,12,14,5,13,5,11,12,13,11,12,13,14,14,9,12,13,16,4,15,5,2,12,13,13,10,15,14,13,15,13,11,14,185,88,8,20,4340,1992/11/6,23198.0,,,right,False,False,True,True,['GK_0']
Luigi Sepe,GK,32,129,140,Italy,U.S. Salernitana 1919,1,3,3,1,10,3,8,1,2,1,11,3,1,9,13,13,12,13,14,11,12,13,4,10,2,14,12,12,13,13,14,14,12,12,14,12,14,8,13,4,11,12,10,11,10,14,14,14,15,6,14,12,185,75,20,7,4987,1991/5/8,32115.0,,,left,False,True,False,True,['GK_1']
Philipp Köhn,GK,25,129,137,"Switzerland,Germany",Fussballclub RB Salzburg,2,5,4,2,10,2,6,7,8,5,11,5,6,8,11,11,13,13,12,10,11,13,4,9,3,14,14,12,12,13,13,14,15,12,14,13,13,7,11,5,2,13,13,11,6,13,11,14,14,15,12,13,190,80,10,20,4153,1998/4/2,7363.0,,,right,False,False,True,True,['GK_0']
Heinz Lindner,GK,33,129,129,Austria,FC Sion,5,2,2,2,6,10,8,2,1,1,7,3,1,6,6,14,13,10,15,6,14,12,1,12,2,13,15,10,9,14,13,14,16,9,10,12,14,4,14,3,13,12,10,14,4,14,8,15,18,8,12,13,187,80,7,20,4955,1990/7/17,10397.0,,,right,False,False,True,True,['GK_0']
Rodrigo Rey,GK,32,129,135,"Argentina,Italy",Club de Gimnasia y Esgrima La Plata,5,3,3,2,11,6,1,3,1,2,11,2,3,10,5,12,11,13,14,10,13,14,2,13,1,13,12,11,11,14,10,15,12,11,12,13,14,12,14,12,14,12,12,12,9,13,11,14,15,14,9,15,190,76,7,20,3456,1991/3/8,5898.0,,,right,False,False,True,True,['GK_0']
Dénes Dibusz,GK,33,129,140,Hungary,Ferencvárosi Torna Club,2,1,2,3,8,4,2,1,3,3,8,3,3,7,10,13,14,13,13,5,12,13,2,10,2,14,8,8,13,14,12,12,12,14,11,12,16,11,10,8,12,13,11,14,10,15,9,13,15,12,10,11,188,81,9,20,4737,1990/11/16,7161.0,,,right,False,False,True,True,['GK_0']
Marco Carnesecchi,GK,23,129,159,Italy,Atalanta,2,3,1,1,8,6,5,3,3,1,8,3,2,8,9,13,10,10,15,8,12,15,7,13,7,15,13,15,10,14,13,15,15,10,15,13,15,6,15,6,14,14,16,15,10,15,9,12,14,14,13,10,191,80,5,20,4250,2000/7/1,3557.0,,,right,False,False,True,True,['GK_0']
Danny Ward,GK,30,129,145,Wales,Leicester City,3,3,1,1,10,7,1,3,1,1,11,2,1,10,12,13,13,13,13,10,12,14,1,10,1,12,12,11,12,12,12,12,13,11,13,13,13,14,16,8,13,13,14,13,6,14,13,11,13,13,9,13,193,88,8,20,5000,1993/6/22,40597.0,,,right,False,False,True,True,['GK_0']
Emil Audero,GK,26,129,138,"Italy,Indonesia",U.C. Sampdoria,3,1,2,2,6,5,6,2,1,1,10,2,1,6,12,13,13,12,11,9,13,15,10,15,1,13,15,13,12,13,13,15,18,12,12,13,12,4,15,3,10,10,12,12,4,10,13,16,16,10,10,16,192,83,10,20,5250,1997/1/18,28461.0,,,right,False,False,True,True,['GK_0']
Carlos Lampe,GK,36,129,132,"Bolivia,Argentina",Club Atlético Tucumán,5,2,2,1,8,6,6,1,1,2,11,3,3,8,12,12,14,14,15,9,14,14,5,15,8,14,14,8,5,10,12,15,14,4,7,14,12,11,15,8,11,15,14,16,10,15,12,14,16,13,10,11,192,85,7,20,4064,1987/3/17,8701.0,,,right,False,False,True,True,['GK_0']
Paulo Gazzaniga,GK,31,128,142,"Argentina,Italy",Fulham,3,1,3,1,8,5,6,1,3,1,10,2,1,13,9,12,13,10,12,14,12,13,6,6,4,12,11,12,8,15,11,17,11,7,12,13,14,9,12,8,1,15,12,12,5,13,16,13,16,12,7,13,196,90,9,20,4750,1992/1/2,28998.0,,,right,False,False,True,True,['GK_0']
Alessio Cragno,GK,29,128,146,Italy,Cagliari Calcio,4,3,5,2,6,2,5,1,3,1,8,2,2,9,10,11,12,13,14,5,12,14,2,10,2,15,10,10,12,13,12,12,14,8,10,8,14,4,14,14,1,13,15,14,13,15,12,14,16,12,11,10,184,78,8,20,5990,1994/6/28,35577.0,,,right,False,False,True,True,['GK_0']
Andrés Fernández,GK,37,128,145,Spain,Huesca,3,3,2,3,8,7,6,3,2,2,9,3,3,9,10,13,13,11,13,6,13,15,6,14,2,15,12,13,9,14,13,11,13,9,14,13,16,7,12,7,11,12,15,15,4,11,12,12,14,11,9,13,187,82,11,20,4650,1986/12/16,9945.0,,,right,False,False,True,True,['GK_0']
Hendrik Van Crombrugge,GK,30,128,138,Belgium,RSC Anderlecht,4,3,10,1,12,6,12,2,2,2,14,12,2,11,12,11,14,13,14,10,13,13,3,12,2,10,14,14,12,12,12,14,10,12,12,11,15,11,12,9,11,13,10,12,10,12,15,11,16,8,10,10,188,85,20,8,5005,1993/4/30,22499.0,,,left,False,True,False,True,['GK_1']
Benoît Costil,GK,36,128,143,France,AJ Auxerre,4,2,2,1,12,7,1,3,3,3,11,4,1,9,8,13,12,13,12,10,12,15,7,14,3,13,13,10,12,14,14,13,15,12,13,14,13,8,14,5,1,12,12,14,8,11,14,14,14,12,12,12,187,82,6,20,5000,1987/7/3,28396.0,,,right,False,False,True,True,['GK_0']
Joel Graterol,GK,26,128,135,Venezuela,América de Cali S.A.,5,1,2,2,9,6,9,2,3,3,10,3,2,11,8,13,12,11,12,10,13,13,1,12,9,12,10,11,12,14,12,12,13,11,12,12,14,5,13,12,13,13,13,14,5,13,13,13,15,13,12,11,182,73,8,20,3786,1997/5/15,9466.0,,,right,False,False,True,True,['GK_0']
Wladimiro Falcone,GK,28,128,133,Italy,U.C. Sampdoria,3,1,1,2,9,6,11,2,1,2,10,4,2,9,12,12,13,11,16,12,12,15,13,12,6,13,12,12,12,12,12,17,13,11,13,13,13,6,13,4,11,12,13,11,3,13,12,13,14,10,11,11,195,85,10,20,4253,1995/4/12,2845.0,,,right,False,False,True,True,['GK_0']
André Hansen,GK,34,128,134,Norway,Rosenborg BK,3,3,1,2,8,4,4,2,10,3,9,4,6,8,8,14,14,14,13,9,12,16,6,15,3,13,14,11,10,14,12,13,14,10,8,13,16,2,16,5,1,12,13,14,5,12,13,14,12,12,14,13,189,87,14,20,5691,1989/12/17,4540.0,,,right,False,False,True,True,['GK_0']
Sergio Rochet,GK,30,128,138,"Uruguay,France",Club Nacional de Football,3,2,3,1,8,6,3,1,3,3,12,2,3,10,6,11,13,12,13,11,12,13,3,12,1,12,12,13,12,15,13,15,12,13,12,13,14,9,15,9,14,13,9,11,9,13,11,13,16,14,14,12,191,82,7,20,6161,1993/3/23,6961.0,,,right,False,False,True,True,['GK_0']
Robin Zentner,GK,29,128,132,Germany,1. FSV Mainz 05,5,3,2,2,8,6,6,3,2,3,8,2,1,8,8,12,12,12,12,8,12,16,5,14,3,12,12,12,11,15,13,17,14,11,12,16,13,5,14,13,11,14,15,14,8,13,11,13,13,16,10,12,194,96,7,20,4900,1994/10/28,28766.0,,,right,False,False,True,True,['GK_0']
Hobie Verhulst,GK,30,128,128,Holland,AZ Alkmaar,4,3,3,3,6,6,4,1,2,1,13,4,3,10,6,12,12,13,15,11,13,13,5,14,2,13,12,15,14,12,9,13,6,16,10,16,12,6,12,8,13,11,12,15,12,12,15,12,14,13,8,12,192,94,20,5,3750,1993/4/2,1726.0,,,left,False,True,False,True,['GK_1']
Joël Drommel,GK,27,128,136,Holland,PSV Eindhoven,3,2,8,1,9,4,2,2,2,1,12,4,3,9,9,12,12,13,13,11,12,15,8,13,2,13,12,14,10,13,14,14,14,10,13,11,11,6,11,5,13,13,14,14,13,12,14,13,14,8,11,13,193,87,7,20,5000,1996/11/16,6711.0,,,right,False,False,True,True,['GK_0']
Santiago Mele,GK,26,128,137,"Uruguay,Italy",Club Plaza Colonia,3,3,2,1,11,7,9,3,3,1,9,3,2,7,14,12,12,13,15,8,12,16,2,5,1,12,12,15,11,16,12,13,12,11,10,9,13,14,11,6,12,12,11,12,8,14,8,15,16,12,14,12,185,78,8,20,5274,1997/9/6,811.0,,,right,False,False,True,True,['GK_0']
Sven Ulreich,GK,35,128,137,Germany,FC Bayern München,5,1,2,2,7,8,5,2,1,1,8,3,3,7,10,13,13,12,13,6,12,10,7,11,1,12,14,10,11,14,14,15,13,10,13,15,12,3,12,6,12,11,12,14,8,15,10,15,15,11,13,12,192,87,8,20,3755,1988/8/3,38355.0,,,right,False,False,True,True,['GK_0']
Sinan Bolat,GK,35,128,140,"Turkey,Belgium",KVC Westerlo,5,3,2,1,12,9,10,1,1,6,11,1,12,12,12,12,16,12,13,10,13,15,13,12,2,8,10,14,13,16,11,16,12,14,11,12,15,14,18,12,12,12,11,11,11,11,14,13,16,15,7,13,188,77,5,20,5503,1988/9/3,17500.0,,,right,False,False,True,True,['GK_0']
Fernando Miguel,GK,38,128,133,"Brazil,Germany",FOR,3,1,1,3,10,5,4,1,3,3,11,1,2,11,14,12,14,10,13,2,12,15,7,16,2,13,13,14,10,15,8,15,13,10,10,13,12,5,12,8,12,12,11,13,9,15,11,15,16,11,13,11,190,87,20,5,3276,1985/2/2,6802.0,,,left,False,True,False,True,['GK_1']
Matheus Cavichioli,GK,37,128,130,"Brazil,Italy",AMG,5,1,2,1,10,8,1,1,3,3,10,1,3,7,13,11,14,10,12,11,12,12,3,15,3,13,12,7,11,12,12,15,11,11,10,13,12,5,12,9,12,14,13,13,7,13,12,14,14,12,9,13,192,103,8,20,1750,1986/7/27,9699.0,,,right,False,False,True,True,['GK_0']
Jean,GK,28,127,135,Brazil,Club Cerro Porteño,9,2,10,10,11,13,11,11,2,2,12,13,1,13,12,12,15,13,10,8,12,14,13,8,8,10,13,14,12,14,9,14,8,12,14,13,12,7,12,3,11,10,11,12,13,14,14,14,14,10,14,12,188,86,20,14,3264,1995/10/26,7349.0,,,left,False,True,False,True,['GK_1']
Helton Leite,GK,33,127,132,Brazil,SL Benfica,4,3,3,2,9,7,8,1,2,3,12,3,3,8,12,10,11,9,15,8,9,13,3,11,2,14,14,13,10,15,14,17,15,12,12,15,11,8,12,14,12,17,11,12,15,10,15,12,16,12,13,11,196,92,9,20,4850,1990/11/2,7499.0,,,right,False,False,True,True,['GK_0']
Rafał Gikiewicz,GK,36,127,129,Poland,FC Augsburg,3,2,1,2,10,6,3,2,2,2,12,1,2,6,16,12,15,12,12,10,12,13,1,12,1,11,8,12,10,13,15,16,14,10,12,13,15,4,13,4,10,15,14,13,15,12,8,14,16,16,10,12,190,81,7,20,4734,1987/10/26,14999.0,,,right,False,False,True,True,['GK_0']
Yvon Mvogo,GK,29,127,134,"Switzerland,Cameroon",FC Lorient,2,1,1,2,10,5,7,2,2,1,8,2,3,10,12,15,16,13,8,9,9,13,12,13,2,8,13,12,14,16,13,15,14,13,12,15,13,6,11,5,9,15,10,11,15,12,16,14,15,18,12,13,189,90,7,20,5231,1994/6/6,13846.0,,,right,False,False,True,True,['GK_0']
Fábio,GK,43,127,154,"Brazil,Italy",FLU,1,5,10,6,9,1,7,3,4,3,11,9,6,10,13,15,14,13,13,10,13,18,1,15,2,15,13,12,10,12,9,16,12,10,12,13,14,3,14,10,2,14,12,13,4,15,11,15,12,14,15,12,188,92,7,20,4174,1980/9/30,8945.0,,,right,False,False,True,True,['GK_0']
Karl Darlow,GK,33,127,134,"England,Wales",Newcastle United,3,1,3,1,12,1,10,2,2,2,11,3,3,11,1,13,14,12,11,9,11,13,3,10,11,14,11,14,10,14,13,13,13,10,12,10,12,2,13,3,2,13,11,12,5,14,11,15,15,16,13,13,190,88,13,20,4750,1990/10/8,34798.0,,,right,False,False,True,True,['GK_0']
Wes Foderingham,GK,32,127,128,England,Sheffield United,3,1,3,1,10,1,5,1,1,2,12,1,3,12,10,12,9,11,15,14,13,12,3,12,1,16,8,10,10,14,9,12,12,10,13,12,14,2,12,4,1,12,11,14,4,14,15,11,15,9,14,15,185,75,20,6,4010,1991/1/14,11599.0,,,left,False,True,False,True,['GK_1']
Patrik Carlgren,GK,31,127,130,Sweden,Randers Football Club,3,2,2,1,5,5,3,1,3,2,9,4,2,5,10,13,16,13,11,10,13,13,3,12,2,12,12,12,10,13,12,14,10,10,10,11,11,10,14,5,13,12,13,13,13,15,12,16,15,16,15,10,188,84,3,20,4000,1992/1/8,2320.0,,,right,False,False,True,True,['GK_0']
Samuel Portugal,GK,29,127,131,Brazil,FC Porto,2,3,1,3,9,2,5,3,1,3,12,3,1,11,10,12,15,14,13,11,9,12,12,6,7,13,14,12,9,15,12,14,11,10,14,15,12,4,10,6,2,13,8,13,16,12,16,13,18,13,16,12,188,80,7,20,4350,1994/3/29,8749.0,,,right,False,False,True,True,['GK_0']
Maarten Stekelenburg,GK,41,127,144,Holland,AFC Ajax,3,2,3,1,9,6,4,2,2,3,12,3,2,7,8,14,12,15,15,11,14,16,5,17,3,14,15,14,8,11,14,16,15,8,12,12,13,3,14,9,12,13,14,14,6,13,15,13,11,12,13,13,197,84,6,20,5495,1982/9/22,13499.0,,,right,False,False,True,True,['GK_0']
Florian Müller,GK,26,127,137,Germany,VfB Stuttgart,2,3,3,3,12,7,8,1,3,2,12,6,2,11,10,12,13,14,12,11,12,16,3,11,2,11,16,13,12,14,12,15,14,11,12,12,12,5,16,6,11,13,12,12,13,12,13,13,15,17,9,14,190,88,20,5,5100,1997/11/13,5999.0,,,left,False,True,False,True,['GK_1']
John,GK,27,127,136,Brazil,SAN,7,2,3,3,3,8,2,2,1,2,16,3,1,5,5,12,13,13,12,11,12,13,1,12,1,13,12,14,12,12,10,14,15,13,12,13,12,8,9,14,15,13,12,12,5,13,11,14,14,13,13,11,196,83,8,20,3250,1996/2/13,447.0,,,right,False,False,True,True,['GK_0']
Dani Cárdenas,GK,26,127,142,Spain,Levante,4,2,2,2,12,8,8,3,3,1,14,2,1,15,12,13,12,12,13,7,13,11,7,7,3,12,11,12,10,14,10,13,13,11,12,11,13,8,13,7,15,13,12,12,8,13,15,14,15,13,12,10,186,74,8,20,3843,1997/3/28,9588.0,,,right,False,False,True,True,['GK_0']
Ezequiel Unsain,GK,28,127,130,Argentina,Club Social y Deportivo Defensa y Justicia,3,1,2,2,12,5,1,2,1,1,12,4,3,14,11,13,11,13,12,14,10,16,11,11,5,12,10,11,13,14,13,14,12,11,13,10,13,6,11,5,10,12,14,12,17,12,17,13,14,14,7,14,188,83,9,20,3128,1995/3/9,5607.0,,,right,False,False,True,True,['GK_0']
Maarten Paes,GK,25,127,140,Holland,FC Dallas,5,3,3,1,9,7,3,1,1,1,11,2,2,12,14,12,16,11,11,12,13,13,3,12,3,14,10,14,9,13,12,15,14,9,11,10,11,8,12,7,12,15,12,13,4,11,11,13,15,12,10,11,191,82,8,20,4517,1998/5/14,3635.0,,,right,False,False,True,True,['GK_0']
Ionuţ Radu,GK,26,127,136,Romania,FC Internazionale Milano,6,1,1,1,8,10,5,2,1,3,9,8,1,10,10,13,12,11,9,12,10,13,2,11,5,13,14,13,13,13,15,14,12,13,15,12,12,12,11,13,12,12,13,12,8,14,14,13,16,13,13,14,188,70,10,20,5000,1997/5/28,35577.0,,,right,False,False,True,True,['GK_0']
Craig Gordon,GK,41,127,138,Scotland,Heart Of Midlothian,4,2,1,2,6,7,5,1,3,2,8,3,3,6,11,15,11,11,18,8,13,15,2,17,8,16,15,14,5,13,13,15,13,5,11,11,18,3,15,12,15,17,13,14,5,13,8,15,15,13,8,12,193,78,20,6,5494,1982/12/31,4060.0,,,left,False,True,False,True,['GK_1']
Antony Silva,GK,39,127,130,Paraguay,CF Puebla de la Franja,4,1,1,3,10,9,3,2,12,3,9,3,1,9,13,12,14,7,9,10,10,14,8,13,10,14,13,13,10,13,15,15,12,8,13,15,16,8,11,8,10,15,13,13,9,14,14,14,15,8,16,15,190,92,7,20,3752,1984/2/27,11205.0,,,right,False,False,True,True,['GK_0']
Alfred Gomis,GK,30,127,132,"Senegal,Italy,Guinea-Bissau",Stade Rennais FC,2,2,1,1,8,5,7,3,3,1,8,4,2,10,12,11,11,14,13,9,13,13,10,8,9,13,10,12,7,14,12,15,13,8,15,15,12,8,13,12,13,14,13,15,10,14,14,13,16,12,13,12,196,80,6,20,4258,1993/9/5,16198.0,,,right,False,False,True,True,['GK_0']
Etrit Berisha,GK,34,127,138,"Albania,Sweden,Kosovo",Torino,3,3,2,3,10,5,11,1,3,3,9,12,1,10,14,12,13,10,12,11,11,15,3,11,2,14,12,14,12,12,13,15,12,11,14,13,13,4,13,8,15,15,13,12,15,13,11,14,14,15,15,14,194,82,20,9,5000,1989/3/10,35577.0,,,left,False,True,False,True,['GK_1']
Andreas Linde,GK,30,127,136,Sweden,SpVgg Greuther Fürth,4,2,1,3,8,7,3,2,2,3,8,2,2,8,7,12,11,14,13,8,12,12,15,12,2,16,15,11,6,13,15,20,15,6,6,14,12,16,6,3,14,16,14,8,9,15,13,15,16,14,15,16,202,96,6,20,5267,1993/7/24,11999.0,,,right,False,False,True,True,['GK_0']
Sebastián Sosa,GK,37,127,145,Uruguay,Club Atlético Independiente,6,2,1,1,11,10,10,3,12,2,11,2,2,11,13,14,13,12,10,9,11,16,8,13,12,13,14,13,12,14,12,9,14,12,14,13,12,8,12,5,10,10,13,15,11,13,12,14,13,13,12,15,183,76,8,20,3971,1986/8/19,8800.0,,,right,False,False,True,True,['GK_0']
Fernando3,GK,33,126,129,Spain,Almería,4,2,1,3,10,7,7,3,3,1,8,3,1,9,5,11,14,10,14,8,12,16,4,6,10,12,7,9,12,14,11,12,11,12,11,12,10,7,9,12,13,14,14,12,8,15,11,13,14,8,9,15,185,85,7,20,3500,1990/6/10,4375.0,,,right,False,False,True,True,['GK_0']
Gabriel2,GK,31,126,126,Brazil,CTB,1,1,1,1,8,1,3,1,8,1,8,1,1,8,11,13,12,12,12,8,11,11,2,10,1,12,7,9,11,14,16,16,14,13,15,15,13,13,15,4,1,14,14,13,9,14,12,12,16,14,13,12,193,90,5,20,4758,1992/9/27,8384.0,,,right,False,False,True,True,['GK_0']
Hernán Galíndez,GK,36,126,126,"Ecuador,Argentina",Sociedad Deportiva Aucas,3,3,1,1,8,7,6,1,1,3,11,3,1,8,9,11,16,11,14,8,11,15,5,16,5,14,9,11,10,12,11,12,13,11,10,14,14,8,14,6,12,13,13,15,13,13,11,12,14,16,7,14,188,93,8,20,3400,1987/3/30,2661.0,,,right,False,False,True,True,['GK_0']
